n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,neel_x,4.0,0.0625,64,4.0,mass_density,trotter2,0.20251532168092987,0.002139477002295359,0.005601545401205267,3.1377310881763876e-05,9.62193288008469e-16,1.1615871756555052,0.006970951661922227,0.07259919847846907,2.7230279929383698e-05
3,1.0,0.5,0.5,neel_x,4.0,0.03125,128,4.0,mass_density,exact,0.20465479868322523,0.0,0.0,0.0,0.0,1.1615871756555052,0.006970951661922227,0.03629959923923454,6.8075699823459244e-06
3,1.0,0.5,0.5,neel_x,4.0,0.03125,128,4.0,mass_density,trotter1,0.204120496399759,0.000534302283466237,0.02480713755069982,0.000615394073459341,1.2360483007493409e-14,1.1615871756555052,0.006970951661922227,0.03629959923923454,6.8075699823459244e-06
3,1.0,0.5,0.5,neel_x,4.0,0.03125,128,4.0,mass_density,trotter2,0.20412049639976107,0.0005343022834641553,0.0013987096311665883,1.9563886323181734e-06,1.9317880628477724e-14,1.1615871756555052,0.006970951661922227,0.03629959923923454,6.8075699823459244e-06
3,1.0,0.5,0.5,uniform_x,0.5,0.5,1,0.5,mass_density,exact,0.07119324917603864,0.0,0.0,0.0,3.3306690738754696e-16,0.5078356088561217,0.09863532245883996,0.25391780442806083,0.02465883061470999
3,1.0,0.5,0.5,uniform_x,0.5,0.5,1,0.5,mass_density,trotter1,0.048654430287738124,0.02253881888830052,0.33612550667638824,0.1129803562384587,8.511709855459534e-16,0.5078356088561217,0.09863532245883996,0.25391780442806083,0.02465883061470999
3,1.0,0.5,0.5,uniform_x,0.5,0.5,1,0.5,mass_density,trotter2,0.048654430287738165,0.022538818888300477,0.09256357418938571,0.008568015266713913,3.3306690738754696e-16,0.5078356088561217,0.09863532245883996,0.25391780442806083,0.02465883061470999
3,1.0,0.5,0.5,uniform_x,0.5,0.25,2,0.5,mass_density,exact,0.07119324917603864,0.0,0.0,0.0,3.3306690738754696e-16,0.5078356088561217,0.09863532245883996,0.12695890221403042,0.006164707653677498
3,1.0,0.5,0.5,uniform_x,0.5,0.25,2,0.5,mass_density,trotter1,0.06612342713074658,0.005069822045292063,0.15447391930463894,0.023862191745336103,0.0,0.5078356088561217,0.09863532245883996,0.12695890221403042,0.006164707653677498
3,1.0,0.5,0.5,uniform_x,0.5,0.25,2,0.5,mass_density,trotter2,0.06612342713074648,0.0050698220452921605,0.020839566500039045,0.0004342875319095496,5.181040781584064e-16,0.5078356088561217,0.09863532245883996,0.12695890221403042,0.006164707653677498
3,1.0,0.5,0.5,uniform_x,0.5,0.125,4,0.5,mass_density,exact,0.07119324917603864,0.0,0.0,0.0,3.3306690738754696e-16,0.5078356088561217,0.09863532245883996,0.06347945110701521,0.0015411769134193744
3,1.0,0.5,0.5,uniform_x,0.5,0.125,4,0.5,mass_density,trotter1,0.06995652448418907,0.0012367246918495722,0.07463607839634177,0.005570544198384875,6.661338147750939e-16,0.5078356088561217,0.09863532245883996,0.06347945110701521,0.0015411769134193744
3,1.0,0.5,0.5,uniform_x,0.5,0.125,4,0.5,mass_density,trotter2,0.06995652448418899,0.0012367246918496555,0.005083215115338592,2.583907590880674e-05,1.4062824978585316e-15,0.5078356088561217,0.09863532245883996,0.06347945110701521,0.0015411769134193744
3,1.0,0.5,0.5,uniform_x,0.5,0.0625,8,0.5,mass_density,exact,0.07119324917603864,0.0,0.0,0.0,3.3306690738754696e-16,0.5078356088561217,0.09863532245883996,0.031739725553507604,0.0003852942283548436
3,1.0,0.5,0.5,uniform_x,0.5,0.0625,8,0.5,mass_density,trotter1,0.07088592367145077,0.00030732550458786867,0.036741315417083344,0.0013499242585776061,2.294460917558657e-15,0.5078356088561217,0.09863532245883996,0.031739725553507604,0.0003852942283548436
