n_sites,backend,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.0625,32,2.0,h_hop_density,trotter1,0.22190346752923693,0.03829903958736461,0.07687119526719147,0.005909180661806679,2.220446049250313e-15,3.172357040311289,0.8032866274139423,0.19827231501945555,0.003137838388335712
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.0625,32,2.0,h_hop_density,trotter2,0.2577450717329237,0.0024574353836778196,0.0044685494575315695,1.9967934254405684e-05,4.085620730620576e-15,3.172357040311289,0.8032866274139423,0.19827231501945555,0.003137838388335712
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.03125,64,2.0,h_hop_density,exact,0.26020250711660153,0.0,0.0,0.0,1.6875389974302379e-15,3.172357040311289,0.8032866274139423,0.09913615750972778,0.000784459597083928
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.03125,64,2.0,h_hop_density,trotter1,0.2419240537274671,0.018278453389134447,0.037899846443741274,0.001436398360459168,2.1538326677728035e-15,3.172357040311289,0.8032866274139423,0.09913615750972778,0.000784459597083928
5,sparse,1.0,1.0,0.5,neel_x,2.0,0.03125,64,2.0,h_hop_density,trotter2,0.25958792472683156,0.0006145823897699687,0.0011139303364427816,1.2408407944475286e-06,1.3322676295501878e-15,3.172357040311289,0.8032866274139423,0.09913615750972778,0.000784459597083928
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.25,4,1.0,h_hop_density,exact,0.7815854594796243,0.0,0.0,0.0,8.881784197001252e-16,1.5521249783802742,0.255714971219813,0.38803124459506855,0.015982185701238313
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.25,4,1.0,h_hop_density,trotter1,0.7431787608725824,0.038406698607041934,0.3099637274646156,0.0960775123437585,8.881784197001252e-16,1.5521249783802742,0.255714971219813,0.38803124459506855,0.015982185701238313
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.25,4,1.0,h_hop_density,trotter2,0.7912613798711259,0.009675920391501558,0.03966967889714087,0.0015736834238022634,6.217248937900876e-16,1.5521249783802742,0.255714971219813,0.38803124459506855,0.015982185701238313
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.125,8,1.0,h_hop_density,exact,0.7815854594796243,0.0,0.0,0.0,8.881784197001252e-16,1.5521249783802742,0.255714971219813,0.19401562229753427,0.003995546425309578
5,sparse,1.0,1.0,0.5,uniform_x,1.0,0.125,8,1.0,h_hop_density,trotter1,0.7712658950919232,0.010319564387701097,0.15235165069017434,0.023211025468020896,1.9984014443252818e-15,1.5521249783802742,0.255714971219813,0.19401562229753427,0.003995546425309578
