n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
4,1.0,0.5,0.5,0.05,40,2.0,electric_density,trotter1,0.1556178672404393,0.0010406203979114736,0.052935599228959226,0.0028021776657289887,2.1371793224034263e-15
4,1.0,0.5,0.5,0.05,40,2.0,electric_density,trotter2,0.15561786724043986,0.0010406203979109185,0.0022859005625860775,5.2253413820313455e-06,7.216449660063518e-16
4,1.0,0.5,0.5,0.025,80,2.0,electric_density,exact,0.15665848763835077,0.0,0.0,0.0,6.106226635438361e-16
4,1.0,0.5,0.5,0.025,80,2.0,electric_density,trotter1,0.15639838469460957,0.00026010294374120835,0.02611625392960469,0.0006820587193155925,3.3306690738754696e-15
4,1.0,0.5,0.5,0.025,80,2.0,electric_density,trotter2,0.1563983846946078,0.0002601029437429847,0.0005712506484911341,3.2632730340154126e-07,8.881784197001252e-15
4,1.0,1.0,0.5,0.4,5,2.0,electric_density,exact,0.8300284526823208,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.4,5,2.0,electric_density,trotter1,0.842548326108295,0.01251987342597416,0.5145430282980707,0.2647545279701492,4.163336342344337e-16
4,1.0,1.0,0.5,0.4,5,2.0,electric_density,trotter2,0.8425483261082952,0.012519873425974382,0.1896318204111494,0.03596022731244641,5.551115123125783e-16
4,1.0,1.0,0.5,0.2,10,2.0,electric_density,exact,0.8300284526823208,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.2,10,2.0,electric_density,trotter1,0.8344228140607665,0.0043943613784456215,0.252319303893727,0.06366503111741495,1.0547118733938987e-15
4,1.0,1.0,0.5,0.2,10,2.0,electric_density,trotter2,0.8344228140607666,0.0043943613784457325,0.04221571296519057,0.001782166421159359,6.661338147750939e-16
4,1.0,1.0,0.5,0.1,20,2.0,electric_density,exact,0.8300284526823208,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.1,20,2.0,electric_density,trotter1,0.8311298596229814,0.001101406940660521,0.1217243879228171,0.014816826615184464,2.7755575615628914e-17
4,1.0,1.0,0.5,0.1,20,2.0,electric_density,trotter2,0.831129859622979,0.0011014069406581894,0.01025085760851563,0.00010508008171006278,2.4702462297909733e-15
4,1.0,1.0,0.5,0.05,40,2.0,electric_density,exact,0.8300284526823208,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.05,40,2.0,electric_density,trotter1,0.8303031105943175,0.00027465791199665635,0.059560320206808334,0.0035474317431375413,6.772360450213455e-15
4,1.0,1.0,0.5,0.05,40,2.0,electric_density,trotter2,0.8303031105943193,0.0002746579119984327,0.002544098078503408,6.472435033044732e-06,4.6629367034256575e-15
4,1.0,1.0,0.5,0.025,80,2.0,electric_density,exact,0.8300284526823208,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.025,80,2.0,electric_density,trotter1,0.8300970612573938,6.860857507295925e-05,0.029440685397375575,0.0008667539566672433,3.497202527569243e-15
4,1.0,1.0,0.5,0.025,80,2.0,electric_density,trotter2,0.8300970612573876,6.8608575066742e-05,0.0006348660926788487,4.030549556333085e-07,2.220446049250313e-15
4,1.0,1.5,0.5,0.4,5,2.0,electric_density,exact,1.1108134435027326,0.0,0.0,0.0,1.2490009027033011e-15
4,1.0,1.5,0.5,0.4,5,2.0,electric_density,trotter1,0.9381910165897276,0.172622426913005,0.6863178920484533,0.4710322489458324,1.1102230246251565e-16
4,1.0,1.5,0.5,0.4,5,2.0,electric_density,trotter2,0.9381910165897276,0.172622426913005,0.2560937023787446,0.06558398439805302,0.0
4,1.0,1.5,0.5,0.2,10,2.0,electric_density,exact,1.1108134435027326,0.0,0.0,0.0,1.2490009027033011e-15
4,1.0,1.5,0.5,0.2,10,2.0,electric_density,trotter1,1.0683999326536535,0.04241351084907907,0.32612760270485086,0.10635921324601305,7.216449660063518e-16
4,1.0,1.5,0.5,0.2,10,2.0,electric_density,trotter2,1.068399932653654,0.04241351084907863,0.058108442480601895,0.003376591087521419,8.326672684688674e-17
4,1.0,1.5,0.5,0.1,20,2.0,electric_density,exact,1.1108134435027326,0.0,0.0,0.0,1.2490009027033011e-15
4,1.0,1.5,0.5,0.1,20,2.0,electric_density,trotter1,1.1003662243078975,0.010447219194835045,0.15628227969998082,0.024424150948223033,2.7755575615628914e-16
4,1.0,1.5,0.5,0.1,20,2.0,electric_density,trotter2,1.1003662243078955,0.010447219194837043,0.014166627093773615,0.00020069332321404065,1.6930901125533637e-15
4,1.0,1.5,0.5,0.05,40,2.0,electric_density,exact,1.1108134435027326,0.0,0.0,0.0,1.2490009027033011e-15
4,1.0,1.5,0.5,0.05,40,2.0,electric_density,trotter1,1.1082126954802407,0.0026007480224918833,0.07637607922724884,0.005833305478126993,4.107825191113079e-15
4,1.0,1.5,0.5,0.05,40,2.0,electric_density,trotter2,1.1082126954802451,0.0026007480224874424,0.0035192073457501094,1.238482034238153e-05,8.326672684688674e-17
4,1.0,1.5,0.5,0.025,80,2.0,electric_density,exact,1.1108134435027326,0.0,0.0,0.0,1.2490009027033011e-15
4,1.0,1.5,0.5,0.025,80,2.0,electric_density,trotter1,1.110163966174237,0.000649477328495518,0.03774599503597595,0.0014247601412559208,7.549516567451064e-15
4,1.0,1.5,0.5,0.025,80,2.0,electric_density,trotter2,1.110163966174243,0.0006494773284895228,0.0008784001866043952,7.715868878266363e-07,1.2045919817182948e-14
