n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
3,1.0,0.5,0.5,0.025,80,2.0,staggered_magnetization,trotter1,0.27829573683301645,0.0003915667518703536,0.019963855380623785,0.0003985555216584613,1.1324274851176597e-14
3,1.0,0.5,0.5,0.025,80,2.0,staggered_magnetization,trotter2,0.2782957368330144,0.0003915667518724075,0.0005319709422622613,2.8299308341139806e-07,2.6645352591003757e-15
3,1.0,1.0,0.5,0.4,5,2.0,staggered_magnetization,exact,0.8375544336122805,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.4,5,2.0,staggered_magnetization,trotter1,0.8674871555523964,0.02993272194011587,0.4250890208771476,0.18070067567029202,4.440892098500626e-16
3,1.0,1.0,0.5,0.4,5,2.0,staggered_magnetization,trotter2,0.8674871555523966,0.02993272194011609,0.15319871168954557,0.02346984526333651,4.440892098500626e-16
3,1.0,1.0,0.5,0.2,10,2.0,staggered_magnetization,exact,0.8375544336122805,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.2,10,2.0,staggered_magnetization,trotter1,0.847804975082735,0.010250541470454455,0.2070687641465312,0.04287747308517176,2.220446049250313e-16
3,1.0,1.0,0.5,0.2,10,2.0,staggered_magnetization,trotter2,0.8478049750827347,0.010250541470454122,0.033855610628253756,0.0011462023710119285,7.401486830834377e-17
3,1.0,1.0,0.5,0.1,20,2.0,staggered_magnetization,exact,0.8375544336122805,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.1,20,2.0,staggered_magnetization,trotter1,0.8401758159830957,0.0026213823708151063,0.10012840600340382,0.010025697688782476,3.700743415417188e-17
3,1.0,1.0,0.5,0.1,20,2.0,staggered_magnetization,trotter2,0.8401758159830949,0.002621382370814329,0.008208821013949466,6.738474243905834e-05,5.181040781584064e-16
3,1.0,1.0,0.5,0.05,40,2.0,staggered_magnetization,exact,0.8375544336122805,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.05,40,2.0,staggered_magnetization,trotter1,0.8382120715737676,0.0006576379614871009,0.049060469469843354,0.0024069296646014315,1.9984014443252818e-15
3,1.0,1.0,0.5,0.05,40,2.0,staggered_magnetization,trotter2,0.8382120715737662,0.0006576379614856576,0.00203659708154147,4.147727672543233e-06,1.3322676295501878e-15
3,1.0,1.0,0.5,0.025,80,2.0,staggered_magnetization,exact,0.8375544336122805,0.0,0.0,0.0,5.921189464667501e-16
3,1.0,1.0,0.5,0.025,80,2.0,staggered_magnetization,trotter1,0.8377189661924695,0.00016453258018900296,0.02426637679149529,0.0005888570425868211,7.105427357601002e-15
