n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,uniform_x,2.0,0.5,4,2.0,staggered_magnetization,trotter1,-0.1201692748594741,0.10534416992884617,0.33230536786645914,0.11042685751286274,1.1102230246251565e-15,0.9705184932514215,0.49221950077224264,0.48525924662571074,0.12305487519306066
3,1.0,0.5,0.5,uniform_x,2.0,0.5,4,2.0,staggered_magnetization,trotter2,-0.12016927485947415,0.10534416992884622,0.15051861511505907,0.022655853496155287,3.3306690738754696e-16,0.9705184932514215,0.49221950077224264,0.48525924662571074,0.12305487519306066
3,1.0,0.5,0.5,uniform_x,2.0,0.25,8,2.0,staggered_magnetization,exact,-0.014825104930627928,0.0,0.0,0.0,8.141635513917814e-16,0.9705184932514215,0.49221950077224264,0.24262962331285537,0.030763718798265165
3,1.0,0.5,0.5,uniform_x,2.0,0.25,8,2.0,staggered_magnetization,trotter1,-0.03811376795861604,0.023288663027988113,0.15602608296268924,0.024344138564679985,4.440892098500626e-16,0.9705184932514215,0.49221950077224264,0.24262962331285537,0.030763718798265165
3,1.0,0.5,0.5,uniform_x,2.0,0.25,8,2.0,staggered_magnetization,trotter2,-0.03811376795861611,0.023288663027988182,0.03461224420638362,0.0011980074490023362,2.220446049250313e-16,0.9705184932514215,0.49221950077224264,0.24262962331285537,0.030763718798265165
3,1.0,0.5,0.5,uniform_x,2.0,0.125,16,2.0,staggered_magnetization,exact,-0.014825104930627928,0.0,0.0,0.0,8.141635513917814e-16,0.9705184932514215,0.49221950077224264,0.12131481165642768,0.007690929699566291
3,1.0,0.5,0.5,uniform_x,2.0,0.125,16,2.0,staggered_magnetization,trotter1,-0.020494488150689515,0.005669383220061587,0.07643018529302396,0.005841573223925978,9.62193288008469e-16,0.9705184932514215,0.49221950077224264,0.12131481165642768,0.007690929699566291
3,1.0,0.5,0.5,uniform_x,2.0,0.125,16,2.0,staggered_magnetization,trotter2,-0.020494488150689633,0.005669383220061705,0.00848535710295108,7.200128516460236e-05,2.3314683517128287e-15,0.9705184932514215,0.49221950077224264,0.12131481165642768,0.007690929699566291
3,1.0,0.5,0.5,uniform_x,2.0,0.0625,32,2.0,staggered_magnetization,exact,-0.014825104930627928,0.0,0.0,0.0,8.141635513917814e-16,0.9705184932514215,0.49221950077224264,0.06065740582821384,0.0019227324248915728
3,1.0,0.5,0.5,uniform_x,2.0,0.0625,32,2.0,staggered_magnetization,trotter1,-0.016233358589906176,0.0014082536592782482,0.03793060677677931,0.001438730930454657,5.070018479121548e-15,0.9705184932514215,0.49221950077224264,0.06065740582821384,0.0019227324248915728
3,1.0,0.5,0.5,uniform_x,2.0,0.0625,32,2.0,staggered_magnetization,trotter2,-0.016233358589906495,0.0014082536592785674,0.002111133059715199,4.456882795822459e-06,4.440892098500626e-16,0.9705184932514215,0.49221950077224264,0.06065740582821384,0.0019227324248915728
3,1.0,0.5,0.5,uniform_x,2.0,0.03125,64,2.0,staggered_magnetization,exact,-0.014825104930627928,0.0,0.0,0.0,8.141635513917814e-16,0.9705184932514215,0.49221950077224264,0.03032870291410692,0.0004806831062228932
3,1.0,0.5,0.5,uniform_x,2.0,0.03125,64,2.0,staggered_magnetization,trotter1,-0.01517660676350675,0.00035150183287882206,0.01890788090917413,0.0003575079604755116,5.329070518200751e-15,0.9705184932514215,0.49221950077224264,0.03032870291410692,0.0004806831062228932
3,1.0,0.5,0.5,uniform_x,2.0,0.03125,64,2.0,staggered_magnetization,trotter2,-0.015176606763508071,0.0003515018328801439,0.000527149499521783,2.7788659484606626e-07,3.1086244689504383e-15,0.9705184932514215,0.49221950077224264,0.03032870291410692,0.0004806831062228932
